freq,siec,indic_nrgm,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,E7000,CMPY_EG5,PC,TR	: 	51.890 	43.800 	37.640 	35.050 	20.610 	25.320 	30.970 	21.580 	19.580 	20.370 	: 
A,E7000,CMPY_EG5,PC,XK	98.790 	98.680 	97.430 	95.980 	96.620 	94.290 	93.600 	95.000 	95.000 	95.000 	95.000 	: 
A,E7000,ECAP_CN,MW,AT	668.000 	769.000 	594.000 	905.000 	381.000 	864.000 	427.000 	370.000 	1227.000 	1441.000 	3026.000 	: 
A,E7000,ECAP_CN,MW,BA	1.130 	9.720 	20.560 	342.740 	32.890 	77.460 	45.480 	24.110 	77.610 	47.360 	114.620 	: 
A,E7000,ECAP_CN,MW,BE	1253.000 	920.000 	367.000 	1043.000 	1177.000 	529.300 	1269.500 	1642.800 	515.700 	1390.800 	1668.000 	: 
A,E7000,ECAP_CN,MW,BG	127.000 	50.800 	59.180 	13.650 	7.570 	420.000 	21.530 	60.256 	183.694 	490.927 	1251.548 	: 
A,E7000,ECAP_CN,MW,CY	75.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,E7000,ECAP_CN,MW,CZ	: 	769.200 	17.300 	123.300 	277.700 	10.200 	289.760 	: 	86.520 	41.700 	934.400 	: 
A,E7000,ECAP_CN,MW,DE	8638.000 	10020.000 	10972.000 	8797.000 	8460.000 	7446.000 	8214.000 	10643.000 	14262.000 	8153.000 	22762.000 	: 
A,E7000,ECAP_CN,MW,DK	889.000 	163.000 	434.000 	320.000 	505.000 	786.339 	296.043 	455.000 	1191.000 	1506.000 	582.000 	: 
A,E7000,ECAP_CN,MW,EE	21.000 	64.000 	229.000 	5.600 	40.000 	20.000 	10.000 	90.000 	55.000 	0.000 	0.000 	: 
A,E7000,ECAP_CN,MW,EL	417.000 	151.000 	0.000 	0.000 	0.000 	500.000 	0.000 	0.000 	0.000 	1422.000 	38.720 	: 
A,E7000,ECAP_CN,MW,ES	703.000 	28.000 	909.600 	37.760 	93.510 	452.790 	6737.831 	4516.410 	4338.330 	6572.260 	6270.314 	: 
A,E7000,ECAP_CN,MW,FI	531.400 	441.300 	133.000 	719.000 	1100.000 	108.000 	259.060 	324.500 	871.100 	2669.000 	3508.000 	: 
A,E7000,ECAP_CN,MW,FR	: 	: 	: 	: 	2763.000 	2504.000 	2396.700 	2412.600 	3940.000 	5600.000 	4700.000 	: 
A,E7000,ECAP_CN,MW,GE	: 	: 	247.460 	150.600 	243.830 	18.380 	85.680 	252.730 	7.800 	26.900 	29.000 	: 
A,E7000,ECAP_CN,MW,HR	142.000 	104.000 	371.000 	80.000 	122.600 	39.500 	77.300 	178.700 	235.500 	101.400 	419.500 	: 
A,E7000,ECAP_CN,MW,HU	35.010 	88.050 	0.000 	0.000 	0.000 	0.000 	465.584 	498.819 	421.631 	1394.000 	1744.000 	: 
A,E7000,ECAP_CN,MW,IE	237.000 	330.000 	856.000 	376.000 	220.250 	208.000 	381.000 	214.800 	478.000 	891.800 	841.100 	: 
A,E7000,ECAP_CN,MW,IT	3057.000 	1275.000 	1163.000 	1376.000 	1090.000 	1390.000 	1622.000 	1205.600 	1761.000 	5097.000 	9511.000 	: 
A,E7000,ECAP_CN,MW,LT	86.000 	14.000 	150.000 	78.000 	22.000 	28.000 	24.000 	113.000 	222.000 	275.000 	388.000 	: 
A,E7000,ECAP_CN,MW,LU	24.100 	215.400 	14.730 	68.750 	17.380 	6.051 	63.230 	44.020 	91.040 	71.950 	155.930 	: 
A,E7000,ECAP_CN,MW,LV	248.000 	16.800 	8.800 	0.000 	14.400 	0.000 	22.000 	6.500 	0.000 	72.100 	183.300 	: 
A,E7000,ECAP_CN,MW,MD	1.500 	3.300 	0.290 	1.710 	9.900 	20.600 	0.000 	2.177 	31.300 	39.600 	75.100 	: 
A,E7000,ECAP_CN,MW,ME	0.840 	0.000 	9.250 	6.230 	75.290 	4.392 	48.617 	16.939 	2.220 	2.220 	14.194 	: 
A,E7000,ECAP_CN,MW,MK	24.300 	22.200 	33.800 	4.660 	11.610 	6.200 	10.900 	14.800 	14.200 	144.840 	373.883 	555.766 
